id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0341616-B1,Architecture and device for testable mixed analog and digital VLSI circuits ,National Semiconductor Corporation,"Patrick P. Fasang, Daryl E. Mullins",1988-05-13,1989-05-06,1994-09-07,1994-09-07,https://patents.google.com/patent/EP0341616B1/en,https://patentimages.storage.googleapis.com/d3/b6/4b/a7c21576f83a82/imgf0001.png
US-5297066-A,Digital circuit simulation of analog/digital circuits ,National Semiconductor Corporation,Michael K. Mayes,1991-10-22,1991-10-22,1994-03-22,1994-03-22,https://patents.google.com/patent/US5297066A/en,https://patentimages.storage.googleapis.com/ca/ac/ff/0abc7432339f37/US5297066-drawings-page-2.png
US-7230561-B2,Programmable integrating ramp generator and method of operating the same ,"Micron Technology, Inc.",Yan Lee,2005-01-27,2005-01-27,2007-06-12,2007-06-12,https://patents.google.com/patent/US7230561B2/en,https://patentimages.storage.googleapis.com/US7230561B2/US07230561-20070612-D00000.png
US-3903402-A,Digital computer program system employed in a hybrid loadflow computer arrangement for monitoring the security of an electric power system ,Westinghouse Electric Corp,"Jorge E Petit, David Egelston, Jerry C Russell",1971-08-26,1971-08-26,1975-09-02,1975-09-02,https://patents.google.com/patent/US3903402A/en,https://patentimages.storage.googleapis.com/a4/b7/5f/5baaad1ecb0a73/US3903402-drawings-page-2.png
US-4310878-A,Digital feedback control system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1972-04-24,1982-01-12,1982-01-12,https://patents.google.com/patent/US4310878A/en,https://patentimages.storage.googleapis.com/01/c3/0a/507a3d1a014a40/US4310878-drawings-page-2.png
US-3345505-A,Function generator ,Gen Precision Systems Inc,Schmid Hermann,1960-10-24,1960-10-24,1967-10-03,1967-10-03,https://patents.google.com/patent/US3345505A/en,https://patentimages.storage.googleapis.com/64/2d/6b/35da53b29ed509/US3345505-drawings-page-1.png
US-4896260-A,Data processor having integrated circuit memory refresh ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1989-04-24,1990-01-23,1990-01-23,https://patents.google.com/patent/US4896260A/en,https://patentimages.storage.googleapis.com/54/93/2d/0ebe9c8b495fc0/US4896260-drawings-page-32.png
US-3598979-A,Digit sequence correlator ,Csf,Jean Pierre A Moreau,1968-01-26,1969-01-17,1971-08-10,1971-08-10,https://patents.google.com/patent/US3598979A/en,https://patentimages.storage.googleapis.com/64/f5/0d/8c4620a48a6d21/US3598979-drawings-page-2.png
US-6925408-B2,"Mixed-signal core design for concurrent testing of mixed-signal, analog, and digital components ",Texas Instruments Incorporated,"Amit Premy, Vudutha V. N. Suresh Gupta, Anupama Aniruddha Agashe, Nikila Krishnamoorthy, Rubin A. Parekhji",2003-09-08,2003-10-01,2005-08-02,2005-08-02,https://patents.google.com/patent/US6925408B2/en,https://patentimages.storage.googleapis.com/b6/26/4f/c5db9b19af8d3f/US06925408-20050802-D00000.png
US-5526506-A,Computer system having an improved memory architecture ,Hyatt; Gilbert P.,Gilbert P. Hyatt,1970-12-28,1990-09-04,1996-06-11,1996-06-11,https://patents.google.com/patent/US5526506A/en,https://patentimages.storage.googleapis.com/13/6d/60/58f4470f1d5cd8/US5526506-drawings-page-3.png
US-4813006-A,Analog-digital correlator ,Hughes Aircraft Company,"Richard J. Burns, Kenneth R. Grim, Miguel E. Levy",1987-06-29,1987-06-29,1989-03-14,1989-03-14,https://patents.google.com/patent/US4813006A/en,https://patentimages.storage.googleapis.com/e2/91/b1/d2f5bbe8a89a5c/US4813006-drawings-page-2.png
US-4370720-A,Coordinate rotation for numerical control system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1972-03-07,1983-01-25,1983-01-25,https://patents.google.com/patent/US4370720A/en,https://patentimages.storage.googleapis.com/57/fb/82/5326cf7ccba70d/US4370720-drawings-page-2.png
US-4654815-A,Analog signal conditioning and digitizing integrated circuit ,Texas Instruments Incorporated,"James S. Marin, Khen-Sang Tan",1985-02-07,1985-02-07,1987-03-31,1987-03-31,https://patents.google.com/patent/US4654815A/en,https://patentimages.storage.googleapis.com/88/01/13/d03d30da652cfc/US4654815-drawings-page-2.png
EP-0601201-B1,Waveform a/d converter and d/a converter ,Advantest Corporation,Masayuki Emu Wai Hausu 202 Gou Kawabata,1992-06-17,1993-06-15,1999-09-22,1999-09-22,https://patents.google.com/patent/EP0601201B1/en,https://patentimages.storage.googleapis.com/aa/27/ee/37cef8f2f11556/00230001.png
US-3067699-A,Loading system ,Cleveland Technical Ct Inc,Theodore R Fredriks,1960-03-21,1960-03-21,1962-12-11,1962-12-11,https://patents.google.com/patent/US3067699A/en,https://patentimages.storage.googleapis.com/f1/0d/e3/fe5d1bee564884/US3067699-drawings-page-1.png
US-3531208-A,Automatic digital colorimeter ,Teledyne Inc,John W Ward,1966-05-10,1966-05-10,1970-09-29,1970-09-29,https://patents.google.com/patent/US3531208A/en,https://patentimages.storage.googleapis.com/11/74/8c/c56c9bf7dc8781/US3531208-drawings-page-1.png
WO-9532481-A1,Integrated circuit having programmable analog modules with configurable interconnects between them ,"Imp, Inc.",Hans W. Klein,1994-05-24,1995-05-22,1995-11-30,,https://patents.google.com/patent/WO1995032481A1/en,
US-3027079-A,Data handling system ,Beckman Instruments Inc,"Taylor C Fletcher, Lawrence M Silva",1957-03-04,1957-03-04,1962-03-27,1962-03-27,https://patents.google.com/patent/US3027079A/en,https://patentimages.storage.googleapis.com/06/11/83/be1ea597555022/US3027079-drawings-page-1.png
US-5262968-A,High performance architecture for image processing ,The United States Of America As Represented By The Secretary Of The Air Force,Patrick C. Coffield,1992-06-25,1992-06-25,1993-11-16,1993-11-16,https://patents.google.com/patent/US5262968A/en,https://patentimages.storage.googleapis.com/42/3e/90/6b2986f7f7e96f/US5262968-drawings-page-2.png
US-5920596-A,Apparatus for amplifying a signal using a digital processor ,"Motorola, Inc.","ShaoWei Pan, Shay-Ping T. Wang, Bernard E. Sigmon, Stephen Chih-Hung Ma, Kevin M. Laird",1995-01-31,1997-09-22,1999-07-06,1999-07-06,https://patents.google.com/patent/US5920596A/en,https://patentimages.storage.googleapis.com/d5/64/79/08873b2c0b7997/US5920596-drawings-page-2.png
US-4792914-A,High frequency digital synthesizer with aperiodic correction optimizing the spectral purity ,Thomson-Csf,"Luc Dartois, Andr/e/ Roullet, Raymond Riboni",1985-12-23,1986-12-22,1988-12-20,1988-12-20,https://patents.google.com/patent/US4792914A/en,https://patentimages.storage.googleapis.com/06/f3/af/89b501282ccc6b/US4792914-drawings-page-2.png
