id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2057606-A,campos ,,,,,1936-10-13,1936-10-13,https://patents.google.com/patent/US2057606A/en,https://patentimages.storage.googleapis.com/e8/29/f6/03479e53baf20b/US2057606-drawings-page-1.png
US-2371752-A,Calculating machine ,,,,,1945-03-20,1945-03-20,https://patents.google.com/patent/US2371752A/en,https://patentimages.storage.googleapis.com/b5/25/6a/a7b2133b6a33a7/US2371752-drawings-page-1.png
US-2281851-A,Printing mechanism for adding machines ,Vietor Adding Machine Co,Thomas O Mehan,1937-02-01,1937-02-01,1942-05-05,1942-05-05,https://patents.google.com/patent/US2281851A/en,https://patentimages.storage.googleapis.com/79/8f/73/ee542573bf9c87/US2281851-drawings-page-1.png
US-1932220-A,Calculating machine ,,,,,1933-10-24,1933-10-24,https://patents.google.com/patent/US1932220A/en,https://patentimages.storage.googleapis.com/18/4d/17/7a0c028e4d1e48/US1932220-drawings-page-1.png
US-1928656-A,Combined typewriting and computing machine ,Elliott Fisher Co,Reppert Richard Von,1926-10-25,1926-10-25,1933-10-03,1933-10-03,https://patents.google.com/patent/US1928656A/en,https://patentimages.storage.googleapis.com/bd/3b/a0/2fd3f6a83ed0b6/US1928656-drawings-page-1.png
US-3315889-A,Control key arrangement for a calculator ,Olympia Werke Ag,Thevis Paul,1964-09-21,1965-04-26,1967-04-25,1967-04-25,https://patents.google.com/patent/US3315889A/en,https://patentimages.storage.googleapis.com/0c/3b/48/7b5fafec0952e4/US3315889-drawings-page-1.png
US-2237881-A,Computing machine ,,,,,1941-04-08,1941-04-08,https://patents.google.com/patent/US2237881A/en,https://patentimages.storage.googleapis.com/d7/58/e4/5cd62ea343c61c/US2237881-drawings-page-1.png
US-2408097-A,Calculating machine fob performing ,,,,,1946-09-24,1946-09-24,https://patents.google.com/patent/US2408097A/en,https://patentimages.storage.googleapis.com/5a/40/ad/0a38a7a52849ab/US2408097-drawings-page-1.png
US-1963285-A,Computing and typewriting machine ,,,,,1934-06-19,1934-06-19,https://patents.google.com/patent/US1963285A/en,https://patentimages.storage.googleapis.com/d5/17/4e/00ed1a55627df7/US1963285-drawings-page-1.png
US-2503865-A,Differential setting mechanism fob ,,,,,1950-04-11,1950-04-11,https://patents.google.com/patent/US2503865A/en,https://patentimages.storage.googleapis.com/63/f9/fb/b2fcb675204ea4/US2503865-drawings-page-1.png
US-2361662-A,Accounting machine ,,,,,1944-10-31,1944-10-31,https://patents.google.com/patent/US2361662A/en,https://patentimages.storage.googleapis.com/bb/cb/aa/f48466c9fbfefa/US2361662-drawings-page-1.png
US-3631472-A,Capacitive keying module and system ,Sperry Rand Corp,Andrew J Lincoln,1970-01-02,1970-01-02,1971-12-28,1971-12-28,https://patents.google.com/patent/US3631472A/en,https://patentimages.storage.googleapis.com/96/34/4d/5d077486c88633/US3631472-drawings-page-2.png
